Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;BEVSTD__Bevoelkerungsstand__Anzahl
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05334008;      Baesweiler, Stadt (ab 21.10.2009);27093
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05334012;      Eschweiler, Stadt (ab 21.10.2009);56482
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05334016;      Herzogenrath, Stadt (ab 21.10.2009);46375
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05334020;      Monschau, Stadt (ab 21.10.2009);11693
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05334024;      Roetgen (ab 21.10.2009);8648
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05334028;      Simmerath (ab 21.10.2009);15404
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05334032;      Stolberg (Rhld.), Stadt (ab 21.10.2009);56466
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05334036;      Würselen, Stadt (ab 21.10.2009);38756
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05358;    Düren, Kreis;264638
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05358004;      Aldenhoven;13787
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05358008;      Düren, Stadt;91216
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05358012;      Heimbach, Stadt;4328
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05358016;      Hürtgenwald;8700
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05358020;      Inden;7397
